"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.660994716E2,6.500540157E1,2.547465414E1,6.656811776E0,1.379999995E0,3.079999924E1,3.790092468E0,2.500000000E0
1.670994696E2,6.500541299E1,2.547467029E1,6.611520444E0,1.440000057E0,2.960000038E1,3.790092468E0,2.500000000E0
1.680994744E2,6.500542543E1,2.547468694E1,6.551092043E0,1.480000019E0,2.860000038E1,3.790092468E0,2.500000000E0
1.690985625E2,6.500543851E1,2.547470426E1,6.817384637E0,1.480000019E0,2.729999924E1,3.790092468E0,2.500000000E0
1.700994172E2,6.500545111E1,2.547472209E1,6.622068557E0,1.460000038E0,3.100000000E1,3.790092468E0,2.500000000E0
1.710994926E2,6.500546280E1,2.547473982E1,6.491999396E0,1.450000048E0,3.089999962E1,3.790092468E0,2.500000000E0
1.720994775E2,6.500547462E1,2.547475908E1,6.577811632E0,1.480000019E0,3.629999924E1,3.790092468E0,2.500000000E0
1.730994411E2,6.500548551E1,2.547477804E1,6.424183281E0,1.460000038E0,3.309999847E1,3.790092468E0,2.500000000E0
1.740994888E2,6.500549683E1,2.547479463E1,6.477524830E0,1.429999948E0,3.209999847E1,3.790092468E0,2.500000000E0
1.750994379E2,6.500550885E1,2.547481044E1,6.757428566E0,1.470000029E0,3.250000000E1,3.790092468E0,2.500000000E0
1.760993697E2,6.500551972E1,2.547482712E1,6.443704861E0,1.429999948E0,3.459999847E1,3.790092468E0,2.500000000E0
1.770991243E2,6.500553107E1,2.547484458E1,6.185828194E0,1.470000029E0,3.340000153E1,3.790092468E0,2.500000000E0
1.780989664E2,6.500554266E1,2.547486217E1,6.068332306E0,1.460000038E0,3.350000000E1,3.790092468E0,2.500000000E0
1.790988173E2,6.500555430E1,2.547487829E1,6.138580444E0,1.440000057E0,3.300000000E1,3.790092468E0,2.500000000E0
1.800990455E2,6.500556601E1,2.547489327E1,6.324551139E0,1.470000029E0,2.860000038E1,3.790092468E0,2.500000000E0
1.810990957E2,6.500557817E1,2.547490723E1,6.235985467E0,1.450000048E0,3.050000000E1,3.790092468E0,2.500000000E0
1.820989577E2,6.500559049E1,2.547492209E1,6.107319695E0,1.429999948E0,3.240000153E1,3.790092468E0,2.500000000E0
1.830991666E2,6.500560231E1,2.547493948E1,6.218522439E0,1.399999976E0,3.470000076E1,3.790092468E0,2.500000000E0
1.840986340E2,6.500561391E1,2.547495899E1,6.084913392E0,1.450000048E0,3.729999924E1,3.790092468E0,2.500000000E0
1.850986187E2,6.500562516E1,2.547497701E1,6.156565611E0,1.470000029E0,3.390000153E1,3.790092468E0,2.500000000E0
1.860992940E2,6.500563750E1,2.547499293E1,6.291815917E0,1.500000000E0,3.129999924E1,3.790092468E0,2.500000000E0
1.870992780E2,6.500564906E1,2.547500869E1,6.435855569E0,1.450000048E0,3.010000038E1,3.790092468E0,2.500000000E0
1.880995109E2,6.500565963E1,2.547502546E1,6.769898099E0,1.409999967E0,2.610000038E1,3.790092468E0,2.500000000E0
1.890994681E2,6.500567186E1,2.547504244E1,6.846432696E0,1.450000048E0,2.479999924E1,3.790092468E0,2.500000000E0
1.900985500E2,6.500568246E1,2.547504391E1,6.260735454E0,1.009999990E0,7.500000000E0,3.790092468E0,2.500000000E0
1.910987864E2,6.500569566E1,2.547503922E1,6.257800509E0,1.409999967E0,3.597999878E2,3.790092468E0,2.500000000E0
1.920990703E2,6.500570964E1,2.547502948E1,6.361066116E0,1.490000010E0,3.477000122E2,3.790092468E0,2.500000000E0
1.930994510E2,6.500571983E1,2.547501090E1,6.452796926E0,1.419999957E0,3.217000122E2,3.790092468E0,2.500000000E0
1.940987756E2,6.500572665E1,2.547498297E1,6.692904859E0,1.470000029E0,3.077000122E2,3.790092468E0,2.500000000E0
1.950990036E2,6.500573440E1,2.547495349E1,6.686857557E0,1.669999957E0,3.127999878E2,3.790092468E0,2.500000000E0
1.960990604E2,6.500574380E1,2.547492139E1,6.075401751E0,1.710000038E0,3.122999878E2,3.790092468E0,2.500000000E0
